time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,1135,4378,1594,20799,3375,3750,4485
10,1030,9645,1604,18201,3513,3906,5915
15,1091,13651,1720,29157,3474,3871,4593
20,1023,19410,1653,27482,3418,3882,6116
25,1016,24404,1686,21041,3516,4009,5699
30,936,31785,1671,22390,3658,4465,6448
35,946,36695,1593,15319,3449,4306,6747
40,1015,39092,1670,56893,3473,3993,5894
45,981,45508,1701,20676,3674,4319,5965
50,1123,44174,1668,19621,3379,3751,4630
55,1053,51828,1690,19903,3564,4018,4925
