time(sec), throughput(txs), avg_latency(Micros), min(Micros), max(Micros), 25th_lat(Micros), median_lat(Micros), 75th_lat(Micros)
5,960,5169,1617,15118,3990,4778,5906
10,979,10137,1629,22633,3664,4647,5862
15,1215,12255,1574,20792,2971,3434,4832
20,1113,17838,1592,17874,3163,3941,5327
25,1072,23152,1506,19613,3238,4436,5703
30,1003,29692,1559,14069,3482,4660,5869
35,955,36378,1520,19437,3724,4767,5940
40,889,44661,1674,22116,4600,4890,5942
45,560,79780,1872,109590,4864,5883,10255
50,875,56728,1725,14537,4657,5056,5934
55,908,60132,1791,26099,4405,4845,5933
