time(sec), throughput(txs), avg_latency(MicroSecond), min(MicroSecond), max(MicroSecond), 25th_lat(MicroSecond), median_lat(MicroSecond), 75th_lat(MicroSecond)
5,3,2321,1835,2883,2247,2247,2247
10,6,1924,719,2402,954,999,1109
15,4,3789,707,1619,786,1033,1619
20,3,6160,1353,2002,1971,1971,1971
25,3,7422,1259,3211,2529,2529,2529
30,6,4518,770,2269,930,1002,1291
35,5,6176,729,1143,797,797,1143
40,5,6949,820,2153,1061,1061,2153
45,3,12411,1200,1485,1288,1288,1288
50,5,8307,885,3409,1075,1075,3409
55,4,11507,1150,1895,1172,1298,1895
60,3,16835,1236,2756,1719,1719,1719
65,5,11023,759,1948,1129,1129,1948
70,6,9992,719,1207,760,908,1096
75,3,21588,1363,3246,1565,1565,1565
80,2,34257,1805,3748,3748,2776,3748
85,4,18135,1237,2577,1344,1395,2577
90,4,19204,931,2205,1004,1072,2205
95,6,13572,736,1228,784,955,1143
100,4,21220,921,1719,1094,1264,1719
105,3,29657,1341,2749,2375,2375,2375
110,6,15603,783,1193,828,843,1032
115,2,47729,1837,1924,1924,1880,1924
120,4,24810,928,3339,1354,1427,3339
125,4,25689,1098,1233,1151,1169,1233
130,4,26436,846,1946,924,1070,1946
135,3,36574,1824,2620,2154,2154,2154
140,3,38211,2377,2592,2533,2533,2533
145,5,23909,780,1841,1355,1355,1841
150,5,24738,754,1381,1138,1138,1381
155,4,31832,765,1729,1147,1438,1729
160,2,65454,2128,3578,3578,2853,3578
165,4,33689,778,2268,803,1150,2268
170,5,27696,771,1304,970,970,1304
175,3,47746,1630,2944,1814,1814,1814
180,5,29418,747,1538,874,874,1538
185,5,30278,800,1911,1185,1185,1911
190,3,52017,1394,3265,1952,1952,1952
195,3,53439,1875,2392,2141,2141,2141
200,5,32895,782,2015,1124,1124,2015
205,5,33650,763,1130,834,834,1130
210,5,34535,1040,1844,1119,1119,1844
215,3,59126,1561,3144,1628,1628,1628
220,5,36285,790,1357,1062,1062,1357
225,5,37262,1007,1699,1105,1105,1699
230,3,63595,1994,2392,2080,2080,2080
235,6,32572,707,1437,896,1008,1171
240,4,49728,725,1743,843,867,1743
245,3,67721,1885,2256,1997,1997,1997
250,4,51930,1011,2011,1718,1772,2011
255,6,35355,753,1117,779,889,1106
260,6,36107,714,1753,807,959,1155
265,6,36851,742,1041,796,799,1039
270,3,74352,950,1274,1000,1000,1000
275,4,56974,1249,3195,1296,1795,3195
280,4,57924,902,1436,1133,1182,1436
285,4,59104,770,2317,1636,1691,2317
290,5,48104,722,1917,1094,1094,1917
295,5,49034,757,1978,1084,1084,1978
300,4,62337,780,2407,990,1091,2407
305,2,125911,2027,2474,2474,2250,2474
310,3,85297,1238,2831,2825,2825,2825
315,5,52165,815,1989,1084,1084,1989
320,6,44249,671,1085,778,922,1068
325,5,54081,993,1721,1054,1054,1721
330,3,91342,876,2304,1317,1317,1317
335,4,69260,733,1663,814,1141,1663
340,6,46984,681,2052,757,1039,1417
345,3,95352,1330,2284,1865,1865,1865
350,5,58050,729,1548,1048,1048,1548
355,5,58941,1041,1626,1095,1095,1626
360,4,74881,1208,1897,1439,1460,1897
365,3,101261,1899,2757,2360,2360,2360
370,6,51387,736,1280,850,968,1112
375,6,52072,752,1070,759,767,857
380,5,63394,750,1875,901,901,1875
385,5,64235,750,1413,804,804,1413
390,5,65148,788,2425,1141,1141,2425
395,6,54966,736,1950,765,803,956
400,2,165928,878,2055,2055,1466,2055
405,4,84036,1097,2974,1106,1596,2974
